treatment,study,suffix,depthTop,meanConcNH4,sdConcNH4,pValue
1,Rotation 1,E,0,5.394666667,1.652772922,-
1,Rotation 1,W,0,6.059,2.517620504,0.725
1,Rotation 1,E,3,4.618333333,0.882464919,-
1,Rotation 1,W,3,5.030333333,0.877539933,0.672
1,Rotation 1,E,6,7.781,1.27573665,-
1,Rotation 1,W,6,8.655333333,2.300811234,0.535
2,Rotation 1,E,0,5.578666667,1.583508867,-
2,Rotation 1,W,0,5.062666667,1.131955977,0.709
2,Rotation 1,E,3,5.668333333,1.244418472,-
2,Rotation 1,W,3,3.700666667,0.759813354,0.071
2,Rotation 1,E,6,7.874666667,1.306363017,-
2,Rotation 1,W,6,8.128666667,1.927489645,0.138
3,Rotation 1,E,0,6.225333333,0.872972126,-
3,Rotation 1,W,0,5.641333333,1.194568681,0.597
3,Rotation 1,E,3,5.25,1.313665483,-
3,Rotation 1,W,3,5.303333333,1.062453921,0.093
3,Rotation 1,E,6,8.143,2.487785963,-
3,Rotation 1,W,6,10.23,3.896507795,0.959
4,Rotation 1,E,0,5.888,1.599715912,-
4,Rotation 1,W,0,5.386333333,1.460533578,0.673
4,Rotation 1,E,3,4.488333333,1.182247154,-
4,Rotation 1,W,3,4.840666667,0.540315032,0.623
4,Rotation 1,E,6,7.244666667,1.740729828,-
4,Rotation 1,W,6,7.734333333,1.217235529,0.43
5,Rotation 1,E,0,14.98466667,5.104138941,-
5,Rotation 1,W,0,5.314666667,1.511625725,0.604
5,Rotation 1,E,3,5.077666667,2.073166982,-
5,Rotation 1,W,3,4.349,0.993432434,0.861
5,Rotation 1,E,6,9.855,3.948191611,-
5,Rotation 1,W,6,6.810666667,0.841722242,0.485
6,Rotation 1,E,0,6.084,0.910410347,-
6,Rotation 1,W,0,4.885666667,0.550688054,0.712
6,Rotation 1,E,3,4.924666667,1.614745904,-
6,Rotation 1,W,3,3.974333333,0.805692456,0.312
6,Rotation 1,E,6,8.734333333,4.118573701,-
6,Rotation 1,W,6,8.111666667,0.91958487,0.82
1,Rotation 2,E,0,7.900666667,2.090510544,-
1,Rotation 2,W,0,8.468666667,1.469893307,0.722
1,Rotation 2,E,3,6.785333333,0.409342562,-
1,Rotation 2,W,3,7.342333333,1.808254499,0.323
1,Rotation 2,E,6,11.167,0.819,-
1,Rotation 2,W,6,14.45366667,4.928406673,0.202
2,Rotation 2,E,0,7.490666667,1.529384626,-
2,Rotation 2,W,0,10.19466667,3.57197933,0.062
2,Rotation 2,E,3,8.320333333,0.773882635,-
2,Rotation 2,W,3,6.906333333,0.707249131,0.574
2,Rotation 2,E,6,10.86,3.204615266,-
2,Rotation 2,W,6,10.786,2.556575248,0.31
3,Rotation 2,E,0,7.770333333,1.514404283,-
3,Rotation 2,W,0,10.89033333,2.949136201,0.65
3,Rotation 2,E,3,6.058333333,0.560776545,-
3,Rotation 2,W,3,8.263,0.556067442,0.08
3,Rotation 2,E,6,12.055,1.289619711,-
3,Rotation 2,W,6,15.71733333,3.66150643,0.008
4,Rotation 2,E,0,7.463,1.539937661,-
4,Rotation 2,W,0,11.74766667,2.276959669,0.312
4,Rotation 2,E,3,5.961333333,1.439122765,-
4,Rotation 2,W,3,7.147,0.98472128,0.542
4,Rotation 2,E,6,13.79733333,4.874715821,-
4,Rotation 2,W,6,12.12133333,3.025662627,0.161
5,Rotation 2,E,0,7.434333333,0.934640216,-
5,Rotation 2,W,0,8.015,1.332064563,0.367
5,Rotation 2,E,3,5.499666667,1.46109046,-
5,Rotation 2,W,3,6.338,1.619971605,0.977
5,Rotation 2,E,6,13.308,4.89738614,-
5,Rotation 2,W,6,11.52533333,1.129059933,0.219
6,Rotation 2,E,0,8.250333333,0.706481658,-
6,Rotation 2,W,0,17.11466667,11.39309801,0.644
6,Rotation 2,E,3,6.999666667,0.807656074,-
6,Rotation 2,W,3,6.028333333,0.407855775,0.596
6,Rotation 2,E,6,11.67566667,2.849110972,-
6,Rotation 2,W,6,11.594,1.884404681,0.969
