sampYear,sampMonth,sampDay,treatment,rep,depthTop,depthBottom,plot,suffix,study,concNO3,concNO3rr,concNH4,concNH4rr
2014,6,2,2,3,6,12,7,W,Rotation 1,15.689,,34.05,
2014,6,2,3,3,0,3,8,W,Rotation 1,5.246,,15.889,
2014,6,2,3,3,3,6,8,W,Rotation 1,6.315,,20.638,
2014,6,2,3,3,6,12,8,W,Rotation 1,20.999,,47.242,
2014,6,2,6,3,0,3,9,W,Rotation 1,36.901,,16.242,
2014,6,2,6,3,3,6,9,W,Rotation 1,11.672,,21.991,
2014,6,2,6,3,6,12,9,W,Rotation 1,41.95,,38.032,
2014,6,2,2,1,0,3,10,W,Rotation 1,59.09,58.371,13.232,10.811
2014,6,2,2,1,3,6,10,W,Rotation 1,30.5,31.416,21.328,24.099
2014,6,2,2,1,6,12,10,W,Rotation 1,36.303,36.948,34.344,32.199
2014,6,2,5,1,0,3,11,W,Rotation 1,47.864,46.822,19.136,15.557
2014,6,2,5,1,3,6,11,W,Rotation 1,27.892,28.091,19.055,21.392
2014,6,2,5,1,6,12,11,W,Rotation 1,35.612,37.465,13.83,14.801
2014,6,2,4,1,0,3,12,W,Rotation 1,10.88,,19.879,
2014,6,2,4,1,3,6,12,W,Rotation 1,5.911,,9.401,
2014,6,2,4,1,6,12,12,W,Rotation 1,14.038,,51.14,
2014,6,2,6,2,0,3,13,W,Rotation 1,46.599,81.312,28.071,7.222
2014,6,2,6,2,3,6,13,W,Rotation 1,17.73,22.837,14.756,7.274
2014,6,2,6,2,6,12,13,W,Rotation 1,31.63,36.649,39.942,15.097
2014,6,2,1,2,0,3,14,W,Rotation 1,5.533,,20.181,
2014,6,2,1,2,3,6,14,W,Rotation 1,3.745,,19.938,
2014,6,2,1,2,6,12,14,W,Rotation 1,10.812,,29.139,
2014,6,2,3,2,0,3,15,W,Rotation 1,8.636,,11.162,
2014,6,2,3,2,3,6,15,W,Rotation 1,8.924,,13.725,
2014,6,2,3,2,6,12,15,W,Rotation 1,17.547,,29.206,
2014,6,2,1,3,0,3,16,W,Rotation 1,3.703,,17.15,
2014,6,2,1,3,3,6,16,W,Rotation 1,4.181,,27.111,
2014,6,2,1,3,6,12,16,W,Rotation 1,8.69,,28.697,
2014,6,2,4,3,0,3,17,W,Rotation 1,18.242,,22.256,
2014,6,2,4,3,3,6,17,W,Rotation 1,9.964,,16.382,
2014,6,2,4,3,6,12,17,W,Rotation 1,24.439,,41.118,
2014,6,2,5,3,0,3,18,W,Rotation 1,22.408,,16.297,
2014,6,2,5,3,3,6,18,W,Rotation 1,11.052,,17.48,
2014,6,2,5,3,6,12,18,W,Rotation 1,24.445,,33.059,
2014,6,2,4,1,0,3,19,E,Rotation 2,5.483,,6.673,
2014,6,2,4,1,3,6,19,E,Rotation 2,3.915,,5.595,
2014,6,2,4,1,6,12,19,E,Rotation 2,12.687,,10.71,
2014,6,2,2,1,0,3,20,E,Rotation 2,6.684,,7.928,
2014,6,2,2,1,3,6,20,E,Rotation 2,5.763,,4.513,
2014,6,2,2,1,6,12,20,E,Rotation 2,12.438,,10.875,
