treatment,study,suffix,depthTop,meanConcNO3,sdConcNO3,pValue
1,Rotation 1,E,0,3.354,1.565791493,-
1,Rotation 1,W,0,2.980666667,0.655777655,0.731
1,Rotation 1,E,3,1.894,0.521523729,-
1,Rotation 1,W,3,2.627333333,1.214590603,0.513
1,Rotation 1,E,6,7.669333333,4.032536712,-
1,Rotation 1,W,6,8.589333333,1.285535427,0.015
2,Rotation 1,E,0,6.051333333,1.993923101,-
2,Rotation 1,W,0,5.066666667,1.202963563,0.047
2,Rotation 1,E,3,2.864333333,1.188462172,-
2,Rotation 1,W,3,2.888,0.382767553,0.214
2,Rotation 1,E,6,11.69466667,6.898325473,-
2,Rotation 1,W,6,14.958,3.736766383,0.304
3,Rotation 1,E,0,12.214,2.392628053,-
3,Rotation 1,W,0,4.766333333,1.887068979,0.414
3,Rotation 1,E,3,3.588666667,1.627759606,-
3,Rotation 1,W,3,3.259333333,0.487197427,0.976
3,Rotation 1,E,6,12.61266667,5.840253533,-
3,Rotation 1,W,6,11.497,1.9779818,0.765
4,Rotation 1,E,0,25.87433333,8.23075758,-
4,Rotation 1,W,0,6.07,1.808860691,0.127
4,Rotation 1,E,3,9.225666667,2.647172517,-
4,Rotation 1,W,3,5.609333333,1.257431642,0.389
4,Rotation 1,E,6,27.06933333,17.87498767,-
4,Rotation 1,W,6,15.42233333,1.380305884,0.196
5,Rotation 1,E,0,106.0086667,95.90760667,-
5,Rotation 1,W,0,6.367666667,0.849241034,0.737
5,Rotation 1,E,3,31.497,43.4263139,-
5,Rotation 1,W,3,4.133,0.846408294,0.522
5,Rotation 1,E,6,40.70733333,34.05932145,-
5,Rotation 1,W,6,14.95,5.044350206,0.779
6,Rotation 1,E,0,34.45833333,37.07780819,-
6,Rotation 1,W,0,117.49,105.29927,0.376
6,Rotation 1,E,3,10.05066667,7.443457015,-
6,Rotation 1,W,3,100.9026667,82.62754553,0.32
6,Rotation 1,E,6,22.65766667,8.139723603,-
6,Rotation 1,W,6,121.0643333,90.68495719,0.2
1,Rotation 2,E,0,7.124666667,1.777747545,-
1,Rotation 2,W,0,3.49,0.842114007,0.053
1,Rotation 2,E,3,3.234,1.491667188,-
1,Rotation 2,W,3,3.069,1.02905442,0.487
1,Rotation 2,E,6,8.207,1.375829931,-
1,Rotation 2,W,6,9.203333333,2.034679664,0.44
2,Rotation 2,E,0,6.941666667,4.682843403,-
2,Rotation 2,W,0,15.53666667,17.44564308,0.632
2,Rotation 2,E,3,3.098333333,1.024188134,-
2,Rotation 2,W,3,8.94,12.08801501,0.198
2,Rotation 2,E,6,13.701,4.111800457,-
2,Rotation 2,W,6,18.43266667,8.727949664,0.605
3,Rotation 2,E,0,29,35.46601393,-
3,Rotation 2,W,0,9.433333333,3.514153715,0.883
3,Rotation 2,E,3,22.544,34.24590184,-
3,Rotation 2,W,3,2.851666667,0.119399888,0.491
3,Rotation 2,E,6,31.68266667,28.99435887,-
3,Rotation 2,W,6,8.943,1.484071764,0.424
4,Rotation 2,E,0,54.20333333,65.21313377,-
4,Rotation 2,W,0,32.9,14.19808959,0.414
4,Rotation 2,E,3,40.825,61.98236211,-
4,Rotation 2,W,3,4.218,2.032926708,0.006
4,Rotation 2,E,6,59.63333333,68.58507699,-
4,Rotation 2,W,6,14.17833333,4.236066257,0.306
5,Rotation 2,E,0,45.67966667,26.09293978,-
5,Rotation 2,W,0,17.734,7.687828107,0.526
5,Rotation 2,E,3,35.07866667,4.84715848,-
5,Rotation 2,W,3,5.250666667,1.356114056,0.461
5,Rotation 2,E,6,58.643,24.10728361,-
5,Rotation 2,W,6,20.40266667,9.098156865,0.307
6,Rotation 2,E,0,141.1303333,116.0633587,-
6,Rotation 2,W,0,97.04766667,65.27979086,0.37
6,Rotation 2,E,3,74.40466667,79.13377903,-
6,Rotation 2,W,3,12.24233333,8.998206062,0.097
6,Rotation 2,E,6,51.62766667,44.8993692,-
6,Rotation 2,W,6,23.259,6.989418645,0.388
